Description,IncidentCategory
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
