Description,IncidentCategory
"In the lecture hall, a student falls to the ground, unconscious. Urgently seeking aid, panic rising.",2
"In the hallway, a student reports sudden chest pain. They appear anxious and in need of urgent medical attention.",2
"In the physics lab, a student gets a paper cut that starts bleeding profusely. Quick first aid is necessary to stop the bleeding.",2
"In the chemistry lab, a student accidentally inhales fumes from a chemical reaction. They appear distressed, and immediate medical attention is vital.",2
"A sudden fall, a student writhing in pain. Urgently dialing for medical assistance.",2
Witnessing a fellow student experiencing a sudden blackout in the computer lab. Urgently dialing for help.,2
Heart in my throat as I see someone struggling to breathe in the hallway. Dialing emergency services urgently.,2
Disturbing sight: a student experiencing a sudden health downturn in the study hall. Urgently seeking aid.,2
"In the chemistry lab, a student accidentally spills a toxic substance on their clothes. Immediate removal of contaminated clothing and thorough rinsing are crucial.",2
"In the chemistry lab, a student accidentally spills a toxic substance on their clothes. Immediate removal of contaminated clothing and thorough rinsing are crucial.",2
"In the lecture hall, a student falls to the ground, unconscious. Urgently seeking aid, panic rising.",2
"Near the entrance, a student shows signs of heatstroke, feeling dizzy and nauseous. They require immediate cooling and medical attention.",2
"In the cafeteria, a fellow student appears to be choking on their lunch. They are gesturing for help, struggling to breathe. Quick intervention needed!",2
"In the hallway, a student reports sudden chest pain. They appear anxious and in need of urgent medical attention.",2
"At the campus clinic, a student reports feeling lightheaded and weak. They need urgent assessment and medical assistance.",2
"In the psychology class, a student experiences a sudden migraine. They need a quiet space and support to manage the pain.",2
"In the cafeteria, a student accidentally ingests a food allergen. They show signs of an allergic reaction and need immediate medical attention.",2
"In the dormitory, a student complains of severe abdominal pain. They are doubled over and need medical assistance promptly.",2
"In the music room, a student collapses while playing an instrument. Others in the room are startled, and medical help is urgently needed.",2
Witnessing a fellow student experiencing a sudden blackout in the computer lab. Urgently dialing for help.,2
"I find myself in the university courtyard, observing a sudden health-related emergency. A student, visibly distressed, clutches their chest and collapses near the water fountain by the library. Urgent assistance required!",2
"At the campus clinic, a student reports feeling lightheaded and weak. They need urgent assessment and medical assistance.",2
"In the hallway, a student reports sudden chest pain. They appear anxious and in need of urgent medical attention.",2
"Near the entrance, a student collapses and appears unresponsive. Immediate medical attention is essential to assess and address the situation.",2
"In the engineering lab, a student accidentally inhales fumes from a chemical reaction. They appear distressed, and immediate medical attention is vital.",2
A health emergency disrupts the group study session in the library. Urgently rallying for assistance.,2
"In the courtyard, a student is involved in a minor car accident. They report neck pain, and urgent medical assessment is needed.",2
"At the sports complex, a student collapses while running. Immediate help is needed to determine the cause and provide assistance.",2
A sudden health crisis in the courtyard. Swiftly reaching for my phone to call for emergency assistance.,2
"In the psychology class, a student experiences a panic attack. They are visibly distressed and need support to manage the episode.",2
"On the sports field, a student has taken a hard fall during a game. They lie motionless, and teammates signal for help. Swift response necessary!",2
"In the lecture hall, a student faints during a presentation. Quick response needed to assess their condition and provide appropriate care.",2
"In the gym, a student injures their ankle while exercising. They are in pain and unable to walk. Immediate assistance needed.",2
"In a bustling corridor, I spot someone collapsing, gasping for breath. Swiftly dialing emergency services; panic sets in.",2
"In the psychology class, a student experiences a panic attack. They are visibly distressed and need support to manage the episode.",2
"Stumbling upon a distressing scene - a student choking in the courtyard. Swiftly call for aid, fear gripping.",2
"Near the entrance, a student collapses and appears disoriented. Immediate medical attention is essential to determine the cause.",2
"In the common area, a student clutches their abdomen, in evident pain. Urgently seeking assistance.",2
"In the parking lot, a student has a visible injury from a bicycle accident. They are in pain and need assistance immediately.",2
"At the staircase, a student falls and hits their head. There's a visible injury, and urgent medical attention is required.",2
"In the physics lab, a student collapses due to exhaustion and dehydration. They need hydration and rest immediately.",2
Witnessing a sudden collapse near the staircase. Swiftly reaching for my phone to call for urgent help.,2
"At the sports complex, a student twists their ankle during a game. They are in pain and require immediate assistance.",2
"In the art studio, a student accidentally cuts their hand while using a tool. Bleeding is evident, and quick first aid is essential.",2
"Panic ensues as a health crisis unfolds in the gym. Rushing to alert authorities, time slipping away.",2
"In the engineering lab, a student accidentally inhales fumes from a chemical reaction. They appear distressed, and immediate medical attention is vital.",2
Witnessing a fellow student experiencing a sudden blackout in the computer lab. Urgently dialing for help.,2
"Alarming sight: a fellow student collapses, unresponsive. Dialing for help, urgency heightening.",2
"In the quiet library, a student clutches their head in pain. Urgently reaching out for medical assistance.",2
"Witnessing a student having a seizure in the computer lab. It's a distressing scene, and immediate medical attention is crucial.",2
"A sudden collapse in the music room. Urgently reaching for my phone, anxiety mounting.",2
A health crisis interrupts a group discussion in the courtyard. Swiftly reaching out for assistance.,2
"In the art studio, a student accidentally cuts their hand while using a tool. Bleeding is evident, and quick first aid is essential.",2
"In the music room, a student experiences a sudden loss of hearing. They need immediate medical attention to assess the cause.",2
"In the language lab, a student accidentally ingests a foreign substance. They're in distress, and quick medical attention is vital.",2
